feature_1,feature_2,correlation
SUN_HOURS,RADIATION,0.8730769842532113
UDI,RADIATION,-0.8386083982063733
UDI,SUN_HOURS,-0.674662054211988
RATIO_W,SUN_HOURS,0.4511761846355321
RATIO_E,SUN_HOURS,0.44626181264251574
RATIO_E,RADIATION,0.32759817848585354
RATIO_W,RADIATION,0.3046322264250097
RATIO_E,UDI,-0.2554115151947927
RATIO_W,UDI,-0.23388321755726263
RATIO_N,RATIO_W,-0.17209760424503057
RATIO_N,RATIO_E,-0.1720976042450304
RATIO_N,RATIO_S,-0.17209760424502923
RATIO_S,RATIO_W,-0.17097365261894287
RATIO_E,RATIO_S,-0.1709736526189408
RATIO_E,RATIO_W,-0.17097365261894035
RATIO_N,UDI,-0.16862510456924654
RATIO_S,UDI,-0.1682401064602619
RATIO_S,RADIATION,0.15470771140054038
RATIO_N,RADIATION,0.14138731969804202
RATIO_N,SUN_HOURS,-0.04888324569303817
RATIO_S,SUN_HOURS,-0.023615613556621673
BUILDING_ORIENTATION,UDI,0.006018652958592539
BUILDING_ORIENTATION,RADIATION,-0.004299408374568844
BUILDING_ORIENTATION,RATIO_N,-0.003866098200011529
BUILDING_ORIENTATION,SUN_HOURS,-0.003340975036175544
BUILDING_ORIENTATION,RATIO_E,-0.0018016695519704464
BUILDING_ORIENTATION,RATIO_S,-0.0018016695519666396
BUILDING_ORIENTATION,RATIO_W,-0.001801669551964532
BUILDING_ORIENTATION,BUILDING_ORIENTATION,
RATIO_N,BUILDING_ORIENTATION,
RATIO_N,RATIO_N,
RATIO_E,BUILDING_ORIENTATION,
RATIO_E,RATIO_N,
RATIO_E,RATIO_E,
RATIO_S,BUILDING_ORIENTATION,
RATIO_S,RATIO_N,
RATIO_S,RATIO_E,
RATIO_S,RATIO_S,
RATIO_W,BUILDING_ORIENTATION,
RATIO_W,RATIO_N,
RATIO_W,RATIO_E,
RATIO_W,RATIO_S,
RATIO_W,RATIO_W,
UDI,BUILDING_ORIENTATION,
UDI,RATIO_N,
UDI,RATIO_E,
UDI,RATIO_S,
UDI,RATIO_W,
UDI,UDI,
SUN_HOURS,BUILDING_ORIENTATION,
SUN_HOURS,RATIO_N,
SUN_HOURS,RATIO_E,
SUN_HOURS,RATIO_S,
SUN_HOURS,RATIO_W,
SUN_HOURS,UDI,
SUN_HOURS,SUN_HOURS,
RADIATION,BUILDING_ORIENTATION,
RADIATION,RATIO_N,
RADIATION,RATIO_E,
RADIATION,RATIO_S,
RADIATION,RATIO_W,
RADIATION,UDI,
RADIATION,SUN_HOURS,
RADIATION,RADIATION,
