BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
0,0.0,0.2,0.2,0.5,100,38.25835,852.29,170.85609
180,0.8,0.0,0.2,0.2,100,28.6369,578.02,189.18591
180,0.5,0.8,0.5,0.0,100,10.2151,1306.785,308.95374
180,0.5,0.8,0.2,0.0,100,16.7839,1200.755,266.79533
180,0.5,0.8,0.0,0.8,100,3.34835,2093.765,388.19154000000003
180,0.5,0.8,0.0,0.5,100,7.48865,1688.33,331.404
180,0.5,0.8,0.0,0.2,100,13.99765,1340.76,276.07194
180,0.5,0.5,0.8,0.0,100,10.0365,1026.82,293.20657
180,0.5,0.5,0.5,0.0,100,17.26545,874.07,247.11261
180,0.5,0.5,0.2,0.0,100,27.85855,768.04,204.90054
180,0.5,0.5,0.0,0.8,100,7.632949999999999,1661.05,329.65344
180,0.5,0.5,0.0,0.5,100,13.795499999999999,1255.615,271.29508000000004
180,0.5,0.5,0.0,0.2,100,24.1521,908.045,214.60550999999998
180,0.5,0.2,0.8,0.0,100,15.638,714.26,234.26359
180,0.5,0.2,0.5,0.0,100,27.18,561.51,187.9373
180,0.5,0.2,0.2,0.0,100,44.166599999999995,455.48,144.43681
180,0.5,0.2,0.0,0.8,100,14.67145,1348.49,272.25406
180,0.5,0.2,0.0,0.5,100,24.938499999999998,943.055,212.67209
180,0.5,0.2,0.0,0.2,100,41.97729999999999,595.485,154.95323
180,0.5,0.0,0.8,0.8,100,6.571949999999999,1455.435,348.50743
180,0.5,0.0,0.8,0.5,100,10.8748,1050.0,289.47505
180,0.5,0.0,0.8,0.2,100,16.4706,702.43,233.07515999999998
180,0.5,0.0,0.5,0.8,100,11.066099999999999,1302.685,303.31687
180,0.5,0.0,0.5,0.5,100,18.278599999999997,897.25,243.53402999999997
180,0.5,0.0,0.5,0.2,100,27.801,549.68,186.52061
180,0.5,0.8,0.8,0.0,100,5.9906500000000005,1459.535,354.42563
180,0.8,0.0,0.2,0.5,100,17.8764,925.59,246.74470000000002
180,0.5,0.0,0.2,0.5,100,28.7663,791.22,201.11631
180,0.8,0.0,0.2,0.8,100,10.87965,1331.025,306.37967000000003
180,0.8,0.8,0.5,0.0,100,6.01875,1441.155,353.17294000000004
180,0.8,0.8,0.2,0.0,100,9.88115,1335.125,311.84838
180,0.8,0.8,0.0,0.8,100,2.2760499999999997,2228.135,432.61289
180,0.8,0.8,0.0,0.5,100,4.74415,1822.7,376.16677000000004
180,0.8,0.8,0.0,0.2,100,8.434800000000001,1475.13,321.52915
180,0.8,0.5,0.8,0.0,100,5.2409,1161.19,336.84428999999994
180,0.8,0.5,0.5,0.0,100,10.076799999999999,1008.44,292.15464
180,0.8,0.5,0.2,0.0,100,17.0215,902.41,250.5896
180,0.8,0.5,0.0,0.8,100,4.88785,1795.42,374.48296000000005
180,0.8,0.5,0.0,0.5,100,8.5725,1389.985,316.70745
180,0.8,0.5,0.0,0.2,100,14.92605,1042.415,260.68396
180,0.8,0.2,0.8,0.0,100,7.79555,848.63,278.76611
180,0.8,0.2,0.5,0.0,100,15.81125,695.88,233.27067
180,0.8,0.2,0.2,0.0,100,28.1131,589.85,190.64603
180,0.8,0.2,0.0,0.8,100,9.0253,1482.86,317.7681
180,0.8,0.2,0.0,0.5,100,15.33935,1077.425,258.73194
180,0.8,0.2,0.0,0.2,100,26.669050000000002,729.855,201.27325000000002
