ROW_ID,TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION,UDI_level,SUN_level,RAD_level,exposure_score,spatial_label
0,TILE_000,0,0.0,0.5,0.2,0.2,90.575,306.5,58.59,5,1,1,2.8000000000000003,medium_indirect
1,TILE_001,0,0.0,0.5,0.2,0.2,84.25,316.0,74.436,5,1,1,2.8000000000000003,medium_indirect
2,TILE_002,0,0.0,0.5,0.2,0.2,72.44,381.0,93.034,5,1,1,2.8000000000000003,medium_indirect
3,TILE_003,0,0.0,0.5,0.2,0.2,65.04,361.0,107.593,5,1,1,2.8000000000000003,medium_indirect
4,TILE_004,0,0.0,0.5,0.2,0.2,57.32,443.0,118.516,5,1,1,2.8000000000000003,medium_indirect
5,TILE_005,0,0.0,0.5,0.2,0.2,51.81,526.0,125.926,5,1,1,2.8000000000000003,medium_indirect
6,TILE_006,0,0.0,0.5,0.2,0.2,50.63,536.0,129.158,5,1,1,2.8000000000000003,medium_indirect
7,TILE_007,0,0.0,0.5,0.2,0.2,53.75,469.0,124.883,5,1,1,2.8000000000000003,medium_indirect
8,TILE_008,0,0.0,0.5,0.2,0.2,70.0,284.0,97.321,5,1,1,2.8000000000000003,medium_indirect
9,TILE_009,0,0.0,0.5,0.2,0.2,96.505,188.5,47.65,5,1,1,2.8000000000000003,medium_indirect
10,TILE_010,0,0.0,0.5,0.2,0.2,86.55,394.0,67.08,5,1,1,2.8000000000000003,medium_indirect
11,TILE_011,0,0.0,0.5,0.2,0.2,70.16,462.0,94.674,5,1,1,2.8000000000000003,medium_indirect
12,TILE_012,0,0.0,0.5,0.2,0.2,58.6,576.0,116.442,5,1,1,2.8000000000000003,medium_indirect
13,TILE_013,0,0.0,0.5,0.2,0.2,46.99,596.0,132.103,5,2,1,3.0,medium_indirect
14,TILE_014,0,0.0,0.5,0.2,0.2,37.95,656.0,144.574,5,2,1,3.0,medium_indirect
15,TILE_015,0,0.0,0.5,0.2,0.2,31.81,750.0,158.023,5,2,1,3.0,medium_indirect
16,TILE_016,0,0.0,0.5,0.2,0.2,28.6,773.0,169.138,4,2,2,2.9000000000000004,medium_indirect
17,TILE_017,0,0.0,0.5,0.2,0.2,28.52,746.0,178.45,4,2,2,2.9000000000000004,medium_indirect
18,TILE_018,0,0.0,0.5,0.2,0.2,38.0,594.0,161.649,5,2,2,3.3499999999999996,bright_indirect
