TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_000,0,0,0.5,0.2,0.2,90.575,306.5,58.59
TILE_001,0,0,0.5,0.2,0.2,84.25,316,74.436
TILE_002,0,0,0.5,0.2,0.2,72.44,381,93.034
TILE_003,0,0,0.5,0.2,0.2,65.04,361,107.593
TILE_004,0,0,0.5,0.2,0.2,57.32,443,118.516
TILE_005,0,0,0.5,0.2,0.2,51.81,526,125.926
TILE_006,0,0,0.5,0.2,0.2,50.63,536,129.158
TILE_007,0,0,0.5,0.2,0.2,53.75,469,124.883
TILE_008,0,0,0.5,0.2,0.2,70,284,97.321
TILE_009,0,0,0.5,0.2,0.2,96.505,188.5,47.65
TILE_010,0,0,0.5,0.2,0.2,86.55,394,67.08
TILE_011,0,0,0.5,0.2,0.2,70.16,462,94.674
TILE_012,0,0,0.5,0.2,0.2,58.6,576,116.442
TILE_013,0,0,0.5,0.2,0.2,46.99,596,132.103
TILE_014,0,0,0.5,0.2,0.2,37.95,656,144.574
TILE_015,0,0,0.5,0.2,0.2,31.81,750,158.023
TILE_016,0,0,0.5,0.2,0.2,28.6,773,169.138
TILE_017,0,0,0.5,0.2,0.2,28.52,746,178.45
TILE_018,0,0,0.5,0.2,0.2,38,594,161.649
TILE_019,0,0,0.5,0.2,0.2,85.42,411,78.557
TILE_020,0,0,0.5,0.2,0.2,79.81,509,80.455
TILE_021,0,0,0.5,0.2,0.2,50.25,609,124.464
TILE_022,0,0,0.5,0.2,0.2,33.51,748,153.271
TILE_023,0,0,0.5,0.2,0.2,27.53,799,167.207
TILE_024,0,0,0.5,0.2,0.2,23.73,859,174.359
TILE_025,0,0,0.5,0.2,0.2,19.21,975,189.161
TILE_026,0,0,0.5,0.2,0.2,16.71,1060,211.26
TILE_027,0,0,0.5,0.2,0.2,16.44,1032,233.719
TILE_028,0,0,0.5,0.2,0.2,21.86,895,234.573
TILE_029,0,0,0.5,0.2,0.2,63.59,549,112.057
TILE_030,0,0,0.5,0.2,0.2,73.89,608,90.595
TILE_031,0,0,0.5,0.2,0.2,33.12,749,158.972
TILE_032,0,0,0.5,0.2,0.2,21.56,898,189.423
TILE_033,0,0,0.5,0.2,0.2,17.73,1000,198.076
TILE_034,0,0,0.5,0.2,0.2,17.26,1039,208.606
TILE_035,0,0,0.5,0.2,0.2,14.03,1270,222.027
TILE_036,0,0,0.5,0.2,0.2,11.07,1414,244.94
TILE_037,0,0,0.5,0.2,0.2,10.58,1287,275.642
TILE_038,0,0,0.5,0.2,0.2,16.79,969,267.856
TILE_039,0,0,0.5,0.2,0.2,52.05,573,124.207
TILE_040,0,0,0.5,0.2,0.2,63.23,661,100.099
TILE_041,0,0,0.5,0.2,0.2,23.37,891,187.118
TILE_042,0,0,0.5,0.2,0.2,17.01,1074,220.784
TILE_043,0,0,0.5,0.2,0.2,12.96,1292,223.236
TILE_044,0,0,0.5,0.2,0.2,11.23,1253,227.513
TILE_045,0,0,0.5,0.2,0.2,10.55,1482,243.155
TILE_046,0,0,0.5,0.2,0.2,9.42,1408,267.996
TILE_047,0,0,0.5,0.2,0.2,9.04,1289,289.995
