id,latin,family,category,origin,climate,common,tempmax_celsius,tempmax_fahrenheit,tempmin_celsius,tempmin_fahrenheit,ideallight,toleratedlight,watering,insects,diseases,use
0,Aeschynanthus lobianus,Gesneriaceae,Hanging,Java,Tropical,Lipstick,32,89.6,14,57.2,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Mealy bug; Aphid; Thrips,N/A,Hanging; Flower; Tertiary
1,Adiantum raddianum,Polypodiaceae,Fern,Brazil,Tropical,Maindenhair; Delta maidenhair,30,86.0,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Potted plant; Ground cover; Table top
2,Aechmea fatsiata,Bromeliaceae,Bromeliad,Brazil,Tropical humid,Silver vase,30,20.0,12,53.6,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Tertiary
3,Agave angustilolia Marginata,Amaryllidaceae,Cactus And Succulent, India,Tropical,Variegated Carabbean Agave; Century plant,35,95.0,5,41.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary
4,Aechmea ramosa,Bromeliaceae,Bromeliad,Brazil,Subtropical,Coral berry,30,20.0,12,53.6,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Primary
5,Aechmea fasciata,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,Silver vase,30,20.0,12,53.6,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,N/A,N/A,Flower; Table top; Tertiary
6,Agave filifera,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Thread Agave; Century plant,35,95.0,5,41.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary
7,Adiantum hispidulum,Polypodiaceae,Fern,Australia & New Guinea,Tropical,Rosy Maidenhair; Autralian maidenhair,30,20.0,12,53.6,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Table top; Ground cover; Tertiary
8,Agave attenuata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Dragon tree Agave; Century plant,35,95.0,5,41.0,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,N/A,Potted plant; Primary; Secondary
9,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Amelia,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
10,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Painted Princess,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
11,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Queen of Siam,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
12,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Jewel of India,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Table top; Ground cover; Tertiary
13,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Patricia,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
14,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Green Lady,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
15,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Black Lance,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
16,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Silver Queen,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
17,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Rapsody in Green,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Primary; Secondary
18,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Manila Pride,28,82.4,18,64.4,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary
